년,계절,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,봄,서울경기,11.1,6.5,16.4
2000,여름,서울경기,24.8,21.3,29.3
2000,가을,서울경기,13.7,9.5,18.5
2000,겨울,서울경기,-1.6,-5.8,2.7
2001,봄,서울경기,11.5,6.9,17
2001,여름,서울경기,24.2,20.9,28.7
2001,가을,서울경기,14.8,10.3,20.1
2001,겨울,서울경기,0.2,-3.7,4.6
2002,봄,서울경기,12.2,7.5,17.6
2002,여름,서울경기,23.1,19.7,27.5
2002,가을,서울경기,12.3,7.9,17.2
2002,겨울,서울경기,-0.2,-4.1,4.1
2003,봄,서울경기,12.1,7.4,17.3
2003,여름,서울경기,22.6,19.4,26.6
2003,가을,서울경기,14.5,10.3,19.3
2003,겨울,서울경기,0.1,-4.1,4.6
2004,봄,서울경기,11.3,6.7,16.6
2004,여름,서울경기,23.9,20.5,28.1
2004,가을,서울경기,14.8,10.2,20.3
2004,겨울,서울경기,-0.9,-5,3.9
2005,봄,서울경기,11.1,6.4,16.7
2005,여름,서울경기,23.8,20.7,28
2005,가을,서울경기,14.6,10.4,19.6
2005,겨울,서울경기,-1.7,-5.7,2.6
2006,봄,서울경기,11.1,6.7,16
2006,여름,서울경기,23.4,20.3,27.4
2006,가을,서울경기,15.5,11.2,20.3
2006,겨울,서울경기,1.5,-2.5,6.1
2007,봄,서울경기,11.2,7,16
2007,여름,서울경기,23.8,20.7,27.7
2007,가을,서울경기,14.1,10.3,18.6
2007,겨울,서울경기,-0.5,-4.6,3.7
2008,봄,서울경기,12.3,7.8,17.5
2008,여름,서울경기,23.6,20.3,27.6
2008,가을,서울경기,15,10.8,20
2008,겨울,서울경기,0.5,-3.8,5
2009,봄,서울경기,11.8,7.2,16.9
2009,여름,서울경기,23.4,19.9,27.6
2009,가을,서울경기,14.5,10.4,19.1
2009,겨울,서울경기,-1.4,-5.3,2.6
2010,봄,서울경기,10,5.9,14.5
2010,여름,서울경기,24.6,21.5,28.6
2010,가을,서울경기,14.2,10.1,19
2010,겨울,서울경기,-2.5,-6.7,2.2
2011,봄,서울경기,10.1,5.9,15
2011,여름,서울경기,23.5,20.5,27.3
2011,가을,서울경기,15.4,11.2,20
2011,겨울,서울경기,-1.9,-6,2.6
2012,봄,서울경기,11.7,7.3,16.8
2012,여름,서울경기,24.9,21.5,29.1
2012,가을,서울경기,13.7,9.5,18.2
2012,겨울,서울경기,-3.2,-7.1,0.9
2013,봄,서울경기,10.1,5.5,15.4
2013,여름,서울경기,25,21.9,28.7
2013,가을,서울경기,14.3,9.9,19.1
2013,겨울,서울경기,0.1,-4,4.4
2014,봄,서울경기,12.5,7.8,18.1
2014,여름,서울경기,24,20.8,28.3
2014,가을,서울경기,15.2,10.6,20.2
2014,겨울,서울경기,-0.9,-4.9,3.5
2015,봄,서울경기,11.9,6.8,17.6
2015,여름,서울경기,24.4,20.7,29
2015,가을,서울경기,15.4,11.1,20.2
2015,겨울,서울경기,-0.2,-4.3,4.2
2016,봄,서울경기,12.8,7.8,18.6
2016,여름,서울경기,25.1,21.7,29.4
2016,가을,서울경기,15,10.8,19.8
2016,겨울,서울경기,-0.1,-4.4,4.6
2017,봄,서울경기,12.3,6.8,18.6
2017,여름,서울경기,24.4,20.8,28.9
2017,가을,서울경기,13.7,8.7,19.4
2017,겨울,서울경기,-2.8,-7.4,2
2018,봄,서울경기,12.3,7.1,18.1
2018,여름,서울경기,25.6,21.5,30.6
2018,가을,서울경기,13.4,8.6,19.1
2018,겨울,서울경기,-0.7,-5.6,4.7
2019,봄,서울경기,12.1,6.3,18.2
2019,여름,서울경기,24.5,20.6,29.3
2019,가을,서울경기,14.8,10.2,20.3
2019,겨울,서울경기,1.5,-2.6,6.1
2020,봄,서울경기,11.7,6.4,17.4
2020,여름,서울경기,24.1,20.8,28.1
2020,가을,서울경기,13.9,9.3,19
2020,겨울,서울경기,-0.5,-5.4,4.6
2021,봄,서울경기,12.6,7.5,18.2
2021,여름,서울경기,24.7,21,29.2
2021,가을,서울경기,14.8,10.5,20
2021,겨울,서울경기,-1.2,-6,3.9
2022,봄,서울경기,12.8,7.4,18.6
2022,여름,서울경기,24.6,21.4,28.6
2022,가을,서울경기,14.7,10,20.3
2022,겨울,서울경기,-1.5,-6,3.6
2023,봄,서울경기,13.3,7.6,19.3
2023,여름,서울경기,24.9,21.5,29
2023,가을,서울경기,14.6,10.4,19.6
2023,겨울,서울경기,1,-3,5.3
2024,봄,서울경기,,,
